"Region","School District","Year","Gender","Total"
45,"West Vancouver",2002,"T",49968
46,"Sunshine Coast",2002,"T",26177
47,"Powell River",2002,"T",19380
48,"Sea to Sky",2002,"T",30530
49,"Central Coast",2002,"T",3974
50,"Haida Qwaii/Queen Charlotte",2002,"T",4782
51,"Boundary",2002,"T",12314
52,"Prince Rupert",2002,"T",16640
53,"Okanagan Similkameen",2002,"T",22868
54,"Bulkley Valley",2002,"T",15753
57,"Prince George",2002,"T",96701
58,"Nicola - Similkameen",2002,"T",16032
59,"Peace River South",2002,"T",25204
60,"Peace River North",2002,"T",31200
61,"Greater Victoria",2002,"T",211449
62,"Sooke",2002,"T",56324
63,"Saanich",2002,"T",61107
64,"Gulf Islands",2002,"T",13725
67,"Okanagan Skaha",2002,"T",50323
68,"Nanaimo-Ladysmith",2002,"T",100997
69,"Qualicum",2002,"T",41427
70,"Alberni",2002,"T",30507
71,"Comox Valley",2002,"T",56338
72,"Campbell River",2002,"T",39254
73,"Kamloops/Thompson",2002,"T",104807
74,"Gold Trail",2002,"T",11851
75,"Mission",2002,"T",37235
78,"Fraser - Cascade",2002,"T",16193
79,"Cowichan Valley",2002,"T",63883
81,"Fort Nelson",2002,"T",5962
82,"Coast Mountains",2002,"T",38805
83,"Okanagan - Shuswap",2002,"T",49972
84,"Vancouver Island West",2002,"T",2655
85,"Vancouver Island North",2002,"T",13135
87,"Stikine",2002,"T",2278
91,"Nechako Lakes",2002,"T",24359
92,"Nisga'a",2002,"T",1993
5,"Southeast Kootenay",2003,"T",39575
6,"Rocky Mountain",2003,"T",23440
8,"Kootenay Lake",2003,"T",40130
10,"Arrow Lakes",2003,"T",4880
19,"Revelstoke",2003,"T",8045
20,"Kootenay-Columbia",2003,"T",31882
22,"Vernon",2003,"T",59466
23,"Central Okanagan",2003,"T",158394
27,"Cariboo - Chilcotin",2003,"T",41469
28,"Quesnel",2003,"T",23512
33,"Chilliwack",2003,"T",74196
34,"Abbotsford",2003,"T",125692
35,"Langley",2003,"T",116825
36,"Surrey",2003,"T",406470
37,"Delta",2003,"T",101679
38,"Richmond",2003,"T",178319
39,"Vancouver",2003,"T",593051
40,"New Westminster",2003,"T",59185
41,"Burnaby",2003,"T",205596
42,"Maple Ridge-Pitt Meadows",2003,"T",83693
43,"Coquitlam",2003,"T",204904
44,"North Vancouver",2003,"T",133331
45,"West Vancouver",2003,"T",50196
46,"Sunshine Coast",2003,"T",26450
47,"Powell River",2003,"T",19251
48,"Sea to Sky",2003,"T",31060
49,"Central Coast",2003,"T",3830
50,"Haida Qwaii/Queen Charlotte",2003,"T",4751
51,"Boundary",2003,"T",12296
52,"Prince Rupert",2003,"T",16086
53,"Okanagan Similkameen",2003,"T",22669
54,"Bulkley Valley",2003,"T",15424
57,"Prince George",2003,"T",96643
58,"Nicola - Similkameen",2003,"T",15967
59,"Peace River South",2003,"T",24939
60,"Peace River North",2003,"T",31106
61,"Greater Victoria",2003,"T",212843
62,"Sooke",2003,"T",57113
63,"Saanich",2003,"T",61415
64,"Gulf Islands",2003,"T",13997
67,"Okanagan Skaha",2003,"T",50356
68,"Nanaimo-Ladysmith",2003,"T",104764
69,"Qualicum",2003,"T",39911
70,"Alberni",2003,"T",30471
71,"Comox Valley",2003,"T",57190
72,"Campbell River",2003,"T",39111
73,"Kamloops/Thompson",2003,"T",104522
74,"Gold Trail",2003,"T",11629
75,"Mission",2003,"T",37839
78,"Fraser - Cascade",2003,"T",16265
79,"Cowichan Valley",2003,"T",64448
81,"Fort Nelson",2003,"T",6001
82,"Coast Mountains",2003,"T",38272
83,"Okanagan - Shuswap",2003,"T",49918
84,"Vancouver Island West",2003,"T",2573
85,"Vancouver Island North",2003,"T",12753
87,"Stikine",2003,"T",2280
